deal_totalPrice,gross_area,address,house_age,deal_time,deal_unitPrice,floor_number,house_decoration,house_orientation,house_usage,household_style,is_two_five,longitude_latitude,region,with_elevator,xiaoqu,lon,lat
115,125.86,quanshuilongpanjinquan,15,2017-01,9138,6,其他,南 北,普通住宅,3室2厅1厨2卫,5,"121.626882,39.005327",ganjingzi,0,龙畔金泉四期,121.62688200000001,39.005327
86,113.05,quanshuilongpanjinquan,16,2017-01,7572,6,简装,东 南 北,普通住宅,3室2厅1厨1卫,5,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
100,86.43,quanshuilongpanjinquan,6,2017-02,11571,27,其他,南 北,普通住宅,2室1厅1厨1卫,0,"121.636507,39.014782",ganjingzi,1,欧尚广场,121.63650700000001,39.014782000000004
159,143.03,quanshuilongpanjinquan,5,2016-10,11082,7,其他,南 北,普通住宅,4室2厅1厨2卫,0,"121.640542,39.010285",ganjingzi,1,金地檀溪,121.640542,39.010284999999996
115,128.89,quanshuilongpanjinquan,12,2016-10,8884,6,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
86,112.13,quanshuilongpanjinquan,16,2016-11,7634,6,精装,东 南 北,普通住宅,3室2厅1厨1卫,5,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
115,134.82,quanshuilongpanjinquan,12,2016-08,8493,6,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
84,118.57,quanshuilongpanjinquan,12,2016-09,7068,18,精装,南 北,普通住宅,2室2厅1厨1卫,5,"121.630616,39.008194",ganjingzi,1,龙畔金泉五期K1区,121.63061599999999,39.008194
107,136.7,quanshuilongpanjinquan,12,2016-09,7828,6,简装,南 北,普通住宅,3室2厅1厨2卫,0,"121.630616,39.008194",ganjingzi,0,龙畔金泉五期K1区,121.63061599999999,39.008194
90,111.29,quanshuilongpanjinquan,16,2016-10,8087,6,其他,南 北,普通住宅,3室2厅1厨1卫,0,"121.629132,39.002134",ganjingzi,0,龙畔金泉二期,121.62913200000001,39.002134000000005
110,137.33,hongmeicuizhu,24,2019-04,8010,7,精装,南 北,普通住宅,3室2厅1厨1卫,0,"121.767905,39.049281",kaifaqudl,0,翠竹小区,121.767905,39.049281
110,137.33,quanshuilongpanjinquan,12,2016-10,8010,6,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.630655,39.014086",ganjingzi,0,龙畔金泉五期K3区,121.630655,39.014086
